Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,4999,Trigger Address,4999,
Trigger Level,1.192E-01,Trigger Level,1.192E-01,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label,,Label,,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000e+01,Probe Ratio,1.000e+00,
Vertical Scale,2.000e-02,Vertical Scale,1.000e+00,
Vertical Position,-5.120e-02,Vertical Position,2.000e-01,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-07,Horizontal Scale,5.000E-07,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,2.000e-09,Sampling Period,2.000e-09,
Horizontal Old Scale,5.000E-07,Horizontal Old Scale,5.000E-07,
Horizontal Old Position,0.000E+00,Horizontal Old Position,0.000E+00,
Firmware,V1.23,Firmware,V1.23,
Mode,Fast,Mode,Fast,
Waveform Data,,Waveform Data,,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
5, ,-21, ,
4, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-2, ,-21, ,
1, ,-21, ,
4, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
5, ,-21, ,
-2, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
0, ,-21, ,
4, ,-21, ,
-2, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
-4, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
0, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
5, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
4, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-2, ,-21, ,
1, ,-21, ,
5, ,-21, ,
1, ,-21, ,
-2, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
5, ,-21, ,
-2, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
0, ,-21, ,
-2, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
-2, ,-21, ,
5, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
5, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
5, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
6, ,-21, ,
-2, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
0, ,-21, ,
5, ,-21, ,
1, ,-21, ,
3, ,-21, ,
6, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
-2, ,-21, ,
0, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
4, ,-21, ,
4, ,-21, ,
4, ,-21, ,
0, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
5, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
4, ,-21, ,
0, ,-21, ,
4, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
4, ,-21, ,
-2, ,-21, ,
1, ,-21, ,
4, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
5, ,-21, ,
3, ,-21, ,
0, ,-21, ,
4, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
1, ,-21, ,
5, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
4, ,-21, ,
0, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
5, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
0, ,-21, ,
0, ,-21, ,
1, ,-21, ,
4, ,-21, ,
-2, ,-21, ,
1, ,-21, ,
4, ,-21, ,
5, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
0, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
1, ,-21, ,
-2, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
5, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
0, ,-21, ,
1, ,-21, ,
4, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
-2, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
0, ,-21, ,
4, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
4, ,-21, ,
3, ,-21, ,
0, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
1, ,-21, ,
4, ,-21, ,
4, ,-21, ,
5, ,-21, ,
-2, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
1, ,-21, ,
4, ,-21, ,
0, ,-21, ,
0, ,-21, ,
0, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
-2, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
0, ,-21, ,
4, ,-21, ,
3, ,-21, ,
3, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
6, ,-21, ,
-2, ,-21, ,
1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
5, ,-21, ,
-2, ,-21, ,
0, ,-21, ,
3, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
0, ,-21, ,
4, ,-21, ,
4, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
5, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
4, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-22, ,
1, ,-22, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
0, ,-21, ,
5, ,-21, ,
0, ,-21, ,
3, ,-21, ,
5, ,-21, ,
0, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
1, ,-21, ,
5, ,-21, ,
-2, ,-21, ,
1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
0, ,-21, ,
5, ,-21, ,
1, ,-21, ,
4, ,-21, ,
0, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
4, ,-21, ,
0, ,-21, ,
0, ,-21, ,
0, ,-21, ,
5, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
0, ,-21, ,
4, ,-21, ,
1, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
0, ,-21, ,
4, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-2, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
5, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
0, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
5, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
0, ,-21, ,
4, ,-21, ,
0, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
-2, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
0, ,-21, ,
4, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
4, ,-21, ,
0, ,-21, ,
4, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
4, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
5, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
0, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
4, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
5, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
0, ,-21, ,
4, ,-21, ,
4, ,-21, ,
3, ,-21, ,
0, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
3, ,-21, ,
0, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
5, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
5, ,-21, ,
4, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
1, ,-21, ,
4, ,-21, ,
4, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
-2, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
5, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
5, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
0, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
5, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
4, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
4, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
4, ,-21, ,
3, ,-21, ,
4, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
0, ,-21, ,
4, ,-21, ,
0, ,-21, ,
3, ,-21, ,
5, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
4, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
5, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
6, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
4, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
5, ,-21, ,
0, ,-21, ,
3, ,-21, ,
5, ,-21, ,
4, ,-21, ,
-2, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
5, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
0, ,-21, ,
5, ,-21, ,
4, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
5, ,-21, ,
4, ,-21, ,
-2, ,-21, ,
1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
4, ,-21, ,
-4, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
5, ,-21, ,
4, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
5, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
5, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
4, ,-21, ,
-2, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
4, ,-21, ,
5, ,-21, ,
0, ,-21, ,
1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
0, ,-21, ,
4, ,-21, ,
4, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
8, ,-21, ,
5, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
4, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
6, ,-21, ,
0, ,-21, ,
3, ,-21, ,
5, ,-21, ,
3, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
4, ,-21, ,
4, ,-21, ,
0, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
4, ,-21, ,
0, ,-21, ,
1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
-2, ,-21, ,
4, ,-21, ,
4, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
4, ,-21, ,
4, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
4, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
0, ,-21, ,
1, ,-21, ,
4, ,-21, ,
5, ,-21, ,
0, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
4, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
3, ,-21, ,
5, ,-21, ,
4, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
4, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
0, ,-21, ,
3, ,-21, ,
4, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
1, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
4, ,-21, ,
5, ,-21, ,
0, ,-21, ,
0, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
3, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
5, ,-21, ,
1, ,-21, ,
4, ,-21, ,
6, ,-21, ,
4, ,-21, ,
-2, ,-21, ,
0, ,-21, ,
1, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
3, ,-21, ,
4, ,-21, ,
-1, ,-21, ,
0, ,-21, ,
3, ,-21, ,
6, ,-21, ,
-1, ,-21, ,
4, ,-21, ,
3, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
4, ,-21, ,
0, ,-21, ,
3, ,-21, ,
5, ,-21, ,
3, ,-21, ,
-2, ,-21, ,
4, ,-21, ,
3, ,-21, ,
1, ,-21, ,
1, ,-21, ,
3, ,-21, ,
